variant,track,target,model,k,n,rmse,mae,rho,skill,nc_skill,skill_over_nc,perm_p,bmi_sel_frac,f1,acc,bacc,q_fdr
main,reg,snap_inatt,ridge,5,24,5.634006155060631,4.60960579739588,0.12169244866783746,-0.2546394866519386,-0.06745745694821581,-0.18718202970372277,,,,,,1.0
main,reg,snap_inatt,ridge,10,24,4.537748761214585,3.5697073657709417,0.37339445580455166,-0.010513410819031677,-0.06745745694821581,0.056944046129184134,,,,,,1.0
main,reg,snap_inatt,svr,5,24,4.584208158825951,3.493148857327345,0.0906127225692171,-0.020859475974982056,-0.06745745694821581,0.046597980973233755,,,,,,1.0
main,reg,snap_inatt,svr,10,24,4.422797115670822,3.3503207157420527,0.3480053837803265,0.015085225317578943,-0.06745745694821581,0.08254268226579475,0.0757848430313937,,,,,0.8136898936002271
main,reg,snap_inatt,rf,5,24,4.395295483497048,3.364899145074697,0.3283069658304968,0.02120957675116797,-0.06745745694821581,0.08866703369938378,0.1121775644871025,,,,,0.8158368326334732
main,reg,snap_inatt,rf,10,24,4.270795738015529,3.3049211309523803,0.3672660591090491,0.04893448376407983,-0.06745745694821581,0.11639194071229564,0.0711857628474305,,,,,0.8136898936002271
main,reg,snap_hyper,ridge,5,24,4.029410536565486,3.367212323360049,0.45778124400654385,0.05007556919738354,-0.06974777792438536,0.1198233471217689,0.0855828834233153,,,,,0.8158368326334732
main,reg,snap_hyper,ridge,10,24,4.007226052359798,3.2944190494890377,0.3930756258633112,0.05530551122997185,-0.06974777792438536,0.1250532891543572,0.0699860027994401,,,,,0.8136898936002271
main,reg,snap_hyper,svr,5,24,4.36396405876084,3.6416070344659204,0.20159981707211255,-0.028794667841137045,-0.06974777792438536,0.04095311008324831,,,,,,1.0
main,reg,snap_hyper,svr,10,24,4.4917440336887156,3.7196412316002387,0.091996423074392,-0.058918508251500246,-0.06974777792438536,0.010829269672885111,,,,,,1.0
main,reg,snap_hyper,rf,5,24,4.394998993912619,3.727577734187109,0.22977097054943835,-0.03611108368944094,-0.06974777792438536,0.03363669423494442,,,,,,1.0
main,reg,snap_hyper,rf,10,24,4.332170243793608,3.6316971726190475,0.2561814269344313,-0.0212993477907919,-0.06974777792438536,0.048448430133593456,,,,,,1.0
main,reg,snap_odd,ridge,5,24,4.320560783478565,3.556854246169753,-0.3521231771791994,-0.21430569288579204,-0.07777720558604329,-0.13652848729974876,,,,,,1.0
main,reg,snap_odd,ridge,10,24,4.041838516843237,3.2951559808009505,-0.1588525611334734,-0.1359700202565517,-0.07777720558604329,-0.05819281467050841,,,,,,1.0
main,reg,snap_odd,svr,5,24,3.846720628447129,2.84614716904164,-0.43287322908871506,-0.08113159197445041,-0.07777720558604329,-0.0033543863884071268,,,,,,1.0
main,reg,snap_odd,svr,10,24,3.717741040682308,2.7085648424161834,-0.443022142716687,-0.04488151807483365,-0.07777720558604329,0.03289568751120964,,,,,,1.0
main,reg,snap_odd,rf,5,24,4.360234380808175,3.3870888873857616,-0.22239358558686276,-0.22545606838307108,-0.07777720558604329,-0.1476788627970278,,,,,,1.0
main,reg,snap_odd,rf,10,24,4.1266696299419765,3.0985470403439153,-0.18003290261793653,-0.15981204186715892,-0.07777720558604329,-0.08203483628111563,,,,,,1.0
main,reg,snap_adhd_total,ridge,5,24,8.727003518178211,6.9680366065453745,0.46412462116448633,-0.03208960232924429,-0.06723002606529893,0.03514042373605464,,,,,,1.0
main,reg,snap_adhd_total,ridge,10,24,8.52551527791223,6.55177759289235,0.48288153724538185,-0.008260814207757816,-0.06723002606529893,0.058969211857541115,,,,,,1.0
