target,track,rank,feature,coef_c0,coef_c1,coef_c2,coef_c3
snap_inatt__qbin,bin,1,frac_act_short_w10_p20,1.3553403848479222,,,
snap_inatt__qbin,bin,0,(intercept),0.02020976286602001,,,
snap_hyper__qbin,bin,1,uaZ_std,-0.06498431177369281,,,
snap_hyper__qbin,bin,2,uaMag_std,-0.15313842798049138,,,
snap_hyper__qbin,bin,3,uaMag_entropy,0.08896013572505662,,,
snap_hyper__qbin,bin,4,uaMag_bp_lf,0.09831923030542641,,,
snap_hyper__qbin,bin,5,gyY_max,-0.6677863717900947,,,
snap_hyper__qbin,bin,6,gyZ_mean,-0.4768235857364124,,,
snap_hyper__qbin,bin,7,pitch_kurt,-0.433834659296122,,,
snap_hyper__qbin,bin,8,roll_mean,0.7530488493503025,,,
snap_hyper__qbin,bin,9,jerk_dfa_alpha,0.27562584683957647,,,
snap_hyper__qbin,bin,10,stl_bout_median_w0.5_p30,-0.19502056535209747,,,
snap_hyper__qbin,bin,11,act_bout_median_w0.5_p90,-0.319132486559717,,,
snap_hyper__qbin,bin,12,stl_bout_median_w1_p20,-0.3372866882563964,,,
snap_hyper__qbin,bin,13,stl_bout_median_w5_p30,-0.5944130192748215,,,
snap_hyper__qbin,bin,14,act_bout_median_w5_p70,-0.48000376567699016,,,
snap_hyper__qbin,bin,15,frac_act_short_w10_p20,0.9784942697106245,,,
snap_hyper__qbin,bin,0,(intercept),-0.4847718027732736,,,
snap_odd__qbin,bin,1,gyY_max,-1.0238405903911325,,,
snap_odd__qbin,bin,2,gyMag_centroid,0.26134939957876546,,,
snap_odd__qbin,bin,3,jerk_dfa_alpha,-0.37359029105821107,,,
snap_odd__qbin,bin,4,stl_bout_median_w5_p30,-1.2070355862225677,,,
snap_odd__qbin,bin,0,(intercept),-0.8513877441720961,,,
snap_adhd_total__qbin,bin,1,frac_act_short_w10_p20,1.4298714005862563,,,
snap_adhd_total__qbin,bin,0,(intercept),0.02381387213797998,,,
sdq_hyper__qbin,bin,1,uaX_std,-0.01855300379786114,,,
sdq_hyper__qbin,bin,2,uaX_madiff,-0.18826111908144527,,,
sdq_hyper__qbin,bin,3,uaY_domfreq,0.552300655750693,,,
sdq_hyper__qbin,bin,4,uaZ_skew,-1.1012328158829783,,,
sdq_hyper__qbin,bin,5,uaZ_madiff,-0.09034419174270447,,,
sdq_hyper__qbin,bin,6,uaZ_centroid,0.27237864813827367,,,
sdq_hyper__qbin,bin,7,uaMag_mean,0.23681341523095134,,,
sdq_hyper__qbin,bin,8,uaMag_rms,0.285341711494124,,,
sdq_hyper__qbin,bin,9,uaMag_spread,0.4436741955446204,,,
sdq_hyper__qbin,bin,10,gyZ_mean,-0.33175571113674784,,,
sdq_hyper__qbin,bin,11,gyZ_std,-0.07992575024984368,,,
sdq_hyper__qbin,bin,12,gyZ_madiff,-0.22449483206726895,,,
sdq_hyper__qbin,bin,13,gyMag_mean,-0.24055487184964472,,,
sdq_hyper__qbin,bin,14,gyMag_mad,-0.3243383225047792,,,
sdq_hyper__qbin,bin,15,gyMag_madiff,-0.691169735661859,,,
sdq_hyper__qbin,bin,16,uaMag_peak_amp_med,0.12689076482387004,,,
sdq_hyper__qbin,bin,17,frac_act_short_w10_p20,0.8477943483125979,,,
sdq_hyper__qbin,bin,18,switchmin_p20,0.46009472323013895,,,
sdq_hyper__qbin,bin,0,(intercept),-0.7063053982179821,,,
sdq_emo__qbin,bin,1,act_bout_median_w0.5_p80,1.5072919610661968,,,
sdq_emo__qbin,bin,0,(intercept),0.06657641764049249,,,
sdq_cond__qbin,bin,1,uaX_bp_mf,-0.6315558440900598,,,
sdq_cond__qbin,bin,2,uaY_bp_hf,-0.04616901572383628,,,
sdq_cond__qbin,bin,3,gyX_min,0.9876331414017173,,,
sdq_cond__qbin,bin,4,gyX_centroid,-0.25500439282287185,,,
sdq_cond__qbin,bin,5,gyX_bp_hf,-0.18797974603257353,,,
sdq_cond__qbin,bin,6,stl_bout_median_w1_p10,0.6983837141951199,,,
sdq_cond__qbin,bin,7,act_bout_cv_w5_p10,0.5289656188345181,,,
sdq_cond__qbin,bin,8,stl_bout_cv_w10_p50,0.6568673316423768,,,
sdq_cond__qbin,bin,9,stl_bout_cv_w10_p70,0.7082224392347493,,,
sdq_cond__qbin,bin,0,(intercept),-1.3158092399138048,,,
sdq_peer__qbin,bin,1,roll_domfreq,1.0578708016754024,,,
sdq_peer__qbin,bin,2,stl_bout_cv_w1_p40,0.05774707988503737,,,
sdq_peer__qbin,bin,3,stl_bout_cv_w2_p20,-0.25362794924294596,,,
sdq_peer__qbin,bin,4,stl_bout_cv_w2_p30,-0.012881189780232536,,,
sdq_peer__qbin,bin,5,switch_per_min_w5_p10,-0.194412201574076,,,
sdq_peer__qbin,bin,6,stl_bout_cv_w5_p10,0.21712303521823711,,,
sdq_peer__qbin,bin,7,stl_bout_cv_w5_p20,0.23223527403845967,,,
sdq_peer__qbin,bin,8,stl_bout_cv_w5_p30,0.08334829284689235,,,
sdq_peer__qbin,bin,9,stl_bout_cv_w5_p40,0.950587075404091,,,
sdq_peer__qbin,bin,10,switch_per_min_w10_p10,-0.5191830807598542,,,
sdq_peer__qbin,bin,11,stl_bout_cv_w10_p10,0.5954860425778937,,,
sdq_peer__qbin,bin,12,stl_bout_cv_w10_p20,0.6892511353642538,,,
sdq_peer__qbin,bin,0,(intercept),-2.1509945748695567,,,
sdq_pro__qbin,bin,1,uaZ_skew,1.0761888229582526,,,
sdq_pro__qbin,bin,0,(intercept),-0.6286516500581585,,,
sdq_totdiff__qbin,bin,1,yaw_bp_hf,-1.326745869777135,,,
sdq_totdiff__qbin,bin,0,(intercept),-0.6440599760062781,,,
snap_inatt__qter,multi,1,uaZ_skew,0.667067945925771,0.4115367419656434,-1.0786046878914142,
snap_inatt__qter,multi,2,stl_bout_cv_w2_p10,-0.2128232637002966,-0.598993996795215,0.8118172604955115,
snap_inatt__qter,multi,3,frac_act_short_w10_p20,-1.198389445762641,0.18294640622410957,1.0154430395385314,
snap_inatt__qter,multi,0,(intercept),-0.0837543937571598,,,
snap_inatt__qter,multi,0,(intercept),,0.33272582730139816,,
snap_inatt__qter,multi,0,(intercept),,,-0.24897143354423829,
snap_inatt__qquar,multi,1,gyZ_mean,-0.2194761552599218,1.0883013484421495,-0.3534213531159193,-0.5154038400663081
snap_inatt__qquar,multi,2,yaw_std,0.025649218309408316,-0.5828678486497157,1.098195667952839,-0.5409770376125315
snap_inatt__qquar,multi,3,stl_bout_median_w2_p10,0.5695759814076276,-0.7769972398541091,0.6207936438946897,-0.4133723854482085
snap_inatt__qquar,multi,4,stl_bout_cv_w2_p10,-0.001735869026924993,-0.3728144466535882,-0.45713451258762716,0.8316848282681403
snap_inatt__qquar,multi,5,frac_act_short_w10_p20,-1.2540712869594928,0.055593888952282136,0.4335093765748371,0.7649680214323739
snap_inatt__qquar,multi,0,(intercept),0.7087174187885201,,,
snap_inatt__qquar,multi,0,(intercept),,-0.42132309321869754,,
snap_inatt__qquar,multi,0,(intercept),,,0.23125532115270836,
snap_inatt__qquar,multi,0,(intercept),,,,-0.5186496467225308
snap_hyper__qter,multi,1,uaMag_spread,-0.4625236752754605,-0.033988117329873876,0.4965117926053344,
snap_hyper__qter,multi,2,uaMag_bp_hf,-0.23826189627686958,-0.11940310922231197,0.35766500549918195,
snap_hyper__qter,multi,3,jerk_dfa_alpha,0.11248495271466333,0.3919286375144272,-0.5044135902290905,
snap_hyper__qter,multi,4,frac_act_short_w10_p20,-1.0540874033405236,0.11101825991495566,0.9430691434255679,
snap_hyper__qter,multi,0,(intercept),0.5770750896496027,,,
snap_hyper__qter,multi,0,(intercept),,0.19532043011827763,,
snap_hyper__qter,multi,0,(intercept),,,-0.7723955197678806,
snap_hyper__qquar,multi,1,act_bout_median_w1_p90,-0.3580216271793726,0.9193042255478757,-0.5975947852697876,0.036312186901284696
snap_hyper__qquar,multi,2,stl_bout_median_w5_p20,-0.0328273161840429,0.6175716806618745,-0.8725940271792342,0.28784966270140244
snap_hyper__qquar,multi,3,frac_act_short_w10_p20,-1.0352242342563927,-0.100679411796086,0.18026500897618003,0.9556386370762988
snap_hyper__qquar,multi,4,stl_bout_median_w10_p30,0.42322065394821523,0.3359975192293448,-0.3642927694345906,-0.39492540374296914
snap_hyper__qquar,multi,0,(intercept),1.2657169431746373,,,
snap_hyper__qquar,multi,0,(intercept),,-1.72379704499701,,
snap_hyper__qquar,multi,0,(intercept),,,0.5170901632032588,
snap_hyper__qquar,multi,0,(intercept),,,,-0.05901006138088581
snap_odd__qter,multi,1,stl_bout_median_w2_p80,0.8792475378983466,-0.6328862255892336,-0.246361312309113,
snap_odd__qter,multi,0,(intercept),-0.013026851748534766,,,
snap_odd__qter,multi,0,(intercept),,0.19651862603012726,,
snap_odd__qter,multi,0,(intercept),,,-0.1834917742815924,
snap_odd__qquar,multi,1,jerk_acf_dom_period_s,-0.3955974007227947,-0.4375808343891626,1.010355008837122,-0.17717677372516463
snap_odd__qquar,multi,0,(intercept),0.29396309883599636,,,
snap_odd__qquar,multi,0,(intercept),,0.417150141022559,,
snap_odd__qquar,multi,0,(intercept),,,-0.901763433165665,
snap_odd__qquar,multi,0,(intercept),,,,0.1906501933071097
snap_adhd_total__qter,multi,1,frac_act_short_w10_p20,-1.229952129664334,0.28398434590695043,0.9459677837573836,
snap_adhd_total__qter,multi,0,(intercept),-0.25280103580274965,,,
snap_adhd_total__qter,multi,0,(intercept),,0.25392352123705186,,
snap_adhd_total__qter,multi,0,(intercept),,,-0.001122485434301904,
snap_adhd_total__qquar,multi,1,frac_act_short_w10_p20,-1.4109926354035138,-0.10934756800490078,0.7079259496332434,0.8124142537751715
snap_adhd_total__qquar,multi,0,(intercept),-0.19829690026585875,,,
snap_adhd_total__qquar,multi,0,(intercept),,0.07771242336917256,,
snap_adhd_total__qquar,multi,0,(intercept),,,0.25624942917018606,
snap_adhd_total__qquar,multi,0,(intercept),,,,-0.13566495227349962
sdq_hyper__qter,multi,1,stl_bout_median_w1_p10,1.089370939572794,-1.0424956831063856,-0.04687525646640797,
sdq_hyper__qter,multi,0,(intercept),-0.16369570387340404,,,
sdq_hyper__qter,multi,0,(intercept),,-0.07590489462896616,,
sdq_hyper__qter,multi,0,(intercept),,,0.23960059850237095,
sdq_hyper__qquar,multi,1,stl_bout_median_w1_p10,1.145015807693161,-0.9434944973197977,-0.025337875155560144,-0.17618343521780294
sdq_hyper__qquar,multi,0,(intercept),0.12870012253253324,,,
