target,track,fold,k_star,features
snap_inatt__qbin,bin,0,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,1,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,2,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,3,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,4,3,uaMag_iqr;uaMag_peak_amp_med;frac_act_short_w10_p20
snap_inatt__qbin,bin,5,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,6,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,7,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,8,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,9,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,10,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,11,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,12,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,13,5,uaX_std;uaX_madiff;uaY_domfreq;gyY_madiff;frac_act_short_w10_p20
snap_inatt__qbin,bin,14,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,15,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,16,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,17,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,18,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,19,2,uaY_domfreq;frac_act_short_w10_p20
snap_inatt__qbin,bin,20,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,21,2,uaY_domfreq;frac_act_short_w10_p20
snap_inatt__qbin,bin,22,1,frac_act_short_w10_p20
snap_inatt__qbin,bin,23,3,gyY_madiff;gyZ_madiff;frac_act_short_w10_p20
snap_hyper__qbin,bin,0,8,uaMag_entropy;uaMag_bp_lf;gyZ_mean;pitch_kurt;jerk_dfa_alpha;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30
snap_hyper__qbin,bin,1,20,uaY_domfreq;uaMag_entropy;uaMag_bp_lf;gyY_max;gyY_range;gyY_kurt;gyMag_bp_lf;pitch_kurt;roll_mean;roll_bp_lf;gyMag_permen_m3;jerk_dfa_alpha;act_bout_cv_w0.5_p20;stl_bout_median_w0.5_p30;switch_per_min_w0.5_p40;stl_bout_median_w1_p20;switch_per_min_w2_p30;stl_bout_median_w5_p30;act_bout_median_w5_p70;frac_act_short_w10_p20
snap_hyper__qbin,bin,2,2,uaMag_entropy;uaMag_bp_lf
snap_hyper__qbin,bin,3,19,uaY_domfreq;uaZ_std;uaMag_std;uaMag_rms;uaMag_spread;uaMag_entropy;uaMag_bp_hf;gyZ_mean;gyMag_iqr;pitch_kurt;jerk_dfa_alpha;act_bout_cv_w0.5_p20;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;act_bout_median_w5_p70;frac_act_short_w10_p20;actshort_p80
snap_hyper__qbin,bin,4,19,uaY_mean;uaZ_std;uaMag_std;uaMag_rms;uaMag_iqr;uaMag_entropy;uaMag_bp_lf;gyY_max;gyMag_iqr;pitch_kurt;roll_mean;roll_median;uaMag_peak_amp_med;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_hyper__qbin,bin,5,1,pitch_kurt
snap_hyper__qbin,bin,6,2,uaMag_entropy;act_bout_median_w0.5_p90
snap_hyper__qbin,bin,7,1,stl_bout_median_w5_p30
snap_hyper__qbin,bin,8,1,frac_act_short_w10_p20
snap_hyper__qbin,bin,9,1,uaMag_entropy
snap_hyper__qbin,bin,10,1,pitch_kurt
snap_hyper__qbin,bin,11,1,act_bout_median_w0.5_p90
snap_hyper__qbin,bin,12,3,uaMag_entropy;stl_bout_median_w1_p20;stl_bout_median_w5_p30
snap_hyper__qbin,bin,13,1,frac_act_short_w10_p20
snap_hyper__qbin,bin,14,1,stl_bout_median_w5_p30
snap_hyper__qbin,bin,15,6,uaMag_entropy;gyY_max;gyZ_mean;pitch_kurt;stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_hyper__qbin,bin,16,12,uaMag_entropy;uaMag_bp_lf;gyY_max;pitch_kurt;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_hyper__qbin,bin,17,8,uaY_domfreq;uaMag_entropy;gyZ_mean;pitch_kurt;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_hyper__qbin,bin,18,2,stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_hyper__qbin,bin,19,1,frac_act_short_w10_p20
snap_hyper__qbin,bin,20,1,stl_bout_median_w1_p20
snap_hyper__qbin,bin,21,18,uaY_domfreq;uaZ_std;uaMag_std;uaMag_entropy;uaMag_bp_lf;gyZ_mean;pitch_kurt;roll_mean;roll_median;roll_skew;roll_bp_lf;jerk_dfa_alpha;act_bout_median_w0.5_p90;stl_bout_median_w5_p30;act_bout_median_w5_p70;stl_bout_cv_w10_p10;frac_act_short_w10_p20;actshort_p80
snap_hyper__qbin,bin,22,8,uaX_skew;uaMag_entropy;uaMag_bp_lf;pitch_kurt;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w5_p30;act_bout_median_w5_p70
snap_hyper__qbin,bin,23,1,pitch_kurt
snap_odd__qbin,bin,0,10,uaMag_spread;uaMag_bp_lf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_centroid;gyMag_bp_mf;jerk_domfreq;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,1,8,uaMag_bp_hf;gyY_max;gyY_range;gyMag_centroid;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w5_p30
snap_odd__qbin,bin,2,1,uaMag_bp_lf
snap_odd__qbin,bin,3,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,4,17,uaZ_std;uaMag_std;uaMag_rms;uaMag_iqr;uaMag_bp_lf;uaMag_bp_hf;gyY_max;gyMag_centroid;jerk_domfreq;jerk_bp_mf;uaMag_peak_amp_med;gyMag_peak_rate_min;jerk_dfa_alpha;stl_bout_median_w5_p30;actshort_p60;actshort_p70;actbout_med_p80
snap_odd__qbin,bin,5,3,gyY_max;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,6,1,jerk_dfa_alpha
snap_odd__qbin,bin,7,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,8,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,9,4,gyMag_centroid;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,10,4,uaZ_skew;uaMag_spread;uaMag_bp_hf;stl_bout_median_w5_p30
snap_odd__qbin,bin,11,4,gyY_max;gyMag_centroid;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,12,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,13,2,uaMag_spread;uaMag_bp_hf
snap_odd__qbin,bin,14,5,uaMag_bp_lf;gyY_max;gyMag_centroid;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,15,3,gyY_max;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,16,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,17,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,18,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,19,5,gyY_max;gyMag_centroid;jerk_dfa_alpha;stl_bout_median_w5_p30;frac_act_short_w10_p20
snap_odd__qbin,bin,20,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,21,5,uaMag_spread;gyMag_centroid;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_odd__qbin,bin,22,1,stl_bout_median_w5_p30
snap_odd__qbin,bin,23,3,gyY_max;jerk_dfa_alpha;stl_bout_median_w5_p30
snap_adhd_total__qbin,bin,0,1,frac_act_short_w10_p20
