target,track,n_classes,class_sizes,chance,f1,acc,bacc,k_star_median,k_star_min,k_star_max,k_final
snap_inatt__qbin,bin,2,12/12,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1,5,1
snap_hyper__qbin,bin,2,13/11,0.5,0.20695652173913043,0.20833333333333334,0.21328671328671328,2.0,1,20,15
snap_odd__qbin,bin,2,15/9,0.5,0.4857142857142857,0.5,0.4888888888888889,2.5,1,17,4
snap_adhd_total__qbin,bin,2,12/12,0.5,0.75,0.75,0.75,1.0,1,2,1
sdq_hyper__qbin,bin,2,14/10,0.5,0.3142857142857143,0.3333333333333333,0.3142857142857143,3.5,1,20,18
sdq_emo__qbin,bin,2,12/12,0.5,0.6571428571428571,0.6666666666666666,0.6666666666666667,1.0,1,8,1
sdq_cond__qbin,bin,2,16/8,0.5,0.4957983193277311,0.5833333333333334,0.5,10.5,1,20,9
sdq_peer__qbin,bin,2,18/6,0.5,0.55,0.75,0.5555555555555556,12.0,1,20,12
sdq_pro__qbin,bin,2,15/9,0.5,0.2727272727272727,0.375,0.3,1.0,1,14,1
sdq_totdiff__qbin,bin,2,15/9,0.5,0.6606060606060606,0.7083333333333334,0.6555555555555556,1.0,1,10,1
snap_inatt__qter,multi,3,8/8/8,0.333,0.47899159663865554,0.5,0.5,2.0,1,6,3
snap_inatt__qquar,multi,4,8/4/6/6,0.25,0.28846153846153844,0.3333333333333333,0.32291666666666663,4.0,1,12,5
snap_hyper__qter,multi,3,11/6/7,0.333,0.2896825396825397,0.375,0.30735930735930733,1.5,1,19,4
snap_hyper__qquar,multi,4,11/2/7/4,0.25,0.140625,0.375,0.20454545454545456,1.0,1,3,4
snap_odd__qter,multi,3,8/10/6,0.333,0.19413919413919412,0.2916666666666667,0.24166666666666667,1.0,1,2,1
snap_odd__qquar,multi,4,7/8/3/6,0.25,0.12903225806451613,0.3333333333333333,0.25,1.0,1,2,1
snap_adhd_total__qter,multi,3,8/8/8,0.333,0.4519607843137255,0.4583333333333333,0.4583333333333333,1.0,1,5,1
snap_adhd_total__qquar,multi,4,7/5/7/5,0.25,0.14646464646464646,0.16666666666666666,0.14285714285714285,2.0,1,20,1
sdq_hyper__qter,multi,3,8/8/8,0.333,0.2830409356725146,0.2916666666666667,0.2916666666666667,1.0,1,4,1
sdq_hyper__qquar,multi,4,8/6/6/4,0.25,0.1286231884057971,0.20833333333333334,0.16666666666666666,1.0,1,2,1
sdq_emo__qter,multi,3,8/9/7,0.333,0.5819548872180452,0.5833333333333334,0.5853174603174603,5.0,4,8,5
sdq_cond__qquar,multi,4,6/10/7/1,0.25,0.11904761904761904,0.20833333333333334,0.125,1.0,1,7,1
sdq_totdiff__qter,multi,3,9/8/7,0.333,0.031746031746031744,0.041666666666666664,0.037037037037037035,1.0,1,15,1
sdq_totdiff__qquar,multi,4,7/8/5/4,0.25,0.3293233082706767,0.4166666666666667,0.3589285714285714,1.0,1,6,1
