target,track,fold,k_star,features
snap_inatt,reg,0,2,stl_bout_median_w1_p20;frac_act_short_w10_p20
snap_inatt,reg,1,1,frac_act_short_w10_p20
snap_inatt,reg,2,2,act_bout_cv_w10_p10;frac_act_short_w10_p20
snap_inatt,reg,3,1,frac_act_short_w10_p20
snap_inatt,reg,4,1,frac_act_short_w10_p20
snap_inatt,reg,5,1,frac_act_short_w10_p20
snap_inatt,reg,6,1,frac_act_short_w10_p20
snap_inatt,reg,7,1,frac_act_short_w10_p20
snap_inatt,reg,8,1,frac_act_short_w10_p20
snap_inatt,reg,9,1,frac_act_short_w10_p20
snap_inatt,reg,10,1,frac_act_short_w10_p20
snap_inatt,reg,11,1,frac_act_short_w10_p20
snap_inatt,reg,12,1,frac_act_short_w10_p20
snap_inatt,reg,13,1,frac_act_short_w10_p20
snap_inatt,reg,14,1,frac_act_short_w10_p20
snap_inatt,reg,15,1,frac_act_short_w10_p20
snap_inatt,reg,16,1,frac_act_short_w10_p20
snap_inatt,reg,17,1,frac_act_short_w10_p20
snap_inatt,reg,18,1,frac_act_short_w10_p20
snap_inatt,reg,19,1,frac_act_short_w10_p20
snap_inatt,reg,20,1,frac_act_short_w10_p20
snap_inatt,reg,21,1,frac_act_short_w10_p20
snap_inatt,reg,22,1,frac_act_short_w10_p20
snap_inatt,reg,23,1,frac_act_short_w10_p20
snap_hyper,reg,0,15,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,1,15,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;stl_bout_cv_w2_p10;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,2,7,uaZ_skew;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyMag_permen_m3;jerk_dfa_alpha;frac_act_short_w10_p20
snap_hyper,reg,3,20,uaX_std;uaY_domfreq;uaZ_std;uaZ_skew;uaMag_std;uaMag_rms;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,4,20,uaX_std;uaY_mean;uaZ_std;uaMag_std;uaMag_rms;uaMag_iqr;uaMag_spread;uaMag_bp_hf;gyY_max;gyMag_iqr;roll_mean;roll_median;yaw_domfreq;uaMag_peak_amp_med;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p60;actshort_p70
snap_hyper,reg,5,14,uaY_domfreq;uaZ_std;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyX_skew;gyY_max;gyZ_mean;pitch_kurt;jerk_dfa_alpha;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,6,4,uaMag_spread;uaMag_bp_mf;jerk_dfa_alpha;frac_act_short_w10_p20
snap_hyper,reg,7,10,uaX_std;uaY_domfreq;uaZ_std;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyZ_mean;jerk_dfa_alpha;frac_act_short_w10_p20
snap_hyper,reg,8,1,frac_act_short_w10_p20
snap_hyper,reg,9,20,uaX_std;uaY_domfreq;uaZ_std;uaZ_skew;uaMag_std;uaMag_rms;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_max;gyMag_centroid;gyMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,10,4,uaMag_spread;uaMag_bp_mf;jerk_dfa_alpha;frac_act_short_w10_p20
snap_hyper,reg,11,20,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;pitch_kurt;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,12,5,uaMag_spread;uaMag_bp_mf;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20
snap_hyper,reg,13,19,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;pitch_kurt;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w0.5_p10;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,14,18,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,15,11,uaY_domfreq;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,16,17,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,17,19,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_rms;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_iqr;pitch_kurt;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,18,19,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;roll_mean;roll_median;yaw_domfreq;jerk_dfa_alpha;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20;frac_act_short_w10_p30;actbout_med_p10;actshort_p80
snap_hyper,reg,19,16,uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;stl_bout_median_w1_p20;stl_bout_median_w5_p30;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,20,8,uaY_domfreq;uaMag_spread;uaMag_bp_mf;gyZ_mean;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10
snap_hyper,reg,21,17,uaX_std;uaY_domfreq;uaZ_skew;uaMag_std;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;gyMag_bp_mf;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w1_p20;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,22,19,uaX_skew;uaY_domfreq;uaMag_spread;uaMag_bp_mf;uaMag_bp_hf;gyY_max;gyZ_mean;pitch_kurt;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p90;stl_bout_median_w1_p20;stl_bout_median_w5_p30;act_bout_median_w5_p60;frac_act_short_w10_p20;actbout_med_p10;actshort_p80
snap_hyper,reg,23,17,uaX_std;uaY_domfreq;uaMag_std;uaMag_spread;uaMag_bp_mf;gyY_max;gyY_madiff;gyZ_mean;gyMag_std;gyMag_iqr;pitch_kurt;roll_mean;roll_median;jerk_dfa_alpha;stl_bout_median_w0.5_p30;act_bout_median_w0.5_p70;frac_act_short_w10_p20
snap_odd,reg,0,2,yaw_kurt;actbout_med_p20
