target,track,rmse,mae,rho,skill,k_star_median,k_star_min,k_star_max,k_final
snap_inatt,reg,3.8894892920858246,2.9228050171390976,0.6439193956488809,0.1338477959635358,1.0,1,2,1
snap_hyper,reg,4.044456383919884,3.210504136654768,0.43137078762155096,0.04652854467496992,16.5,1,20,15
snap_odd,reg,4.234600741646088,3.509432327425445,-0.4214005441179642,-0.19014638269693318,2.0,1,17,1
snap_adhd_total,reg,8.216426522961234,6.188573595915632,0.46848669467167126,0.028293232037018834,1.0,1,20,1
sdq_hyper,reg,2.535800845922434,2.074537198682938,-0.04173295061580082,-0.1793448119290808,1.5,1,14,4
sdq_emo,reg,1.2340725386565299,1.0076644244290656,0.5378843335232489,0.2771859564516239,2.0,1,3,2
sdq_cond,reg,1.1024101076014494,0.8525920395734778,0.13142377625810167,-0.2126932264963488,6.0,1,20,5
sdq_peer,reg,0.9648446721364736,0.7545275687132724,-0.005746430540045579,-0.14781379528342886,17.0,1,20,18
sdq_pro,reg,2.6097660919026517,2.1761487267149735,-0.10186796595001779,-0.16409531617177575,19.0,1,20,19
sdq_totdiff,reg,4.551548663057793,4.019296266971998,-0.42263096770110464,-0.4315187376448557,9.0,1,20,16
