target,fold,step,feature
snap_inatt__qbin,0,1,frac_act_short_w10_p20
snap_inatt__qbin,0,2,yaw_range
snap_inatt__qbin,0,3,uaZ_std
snap_inatt__qbin,0,4,stl_bout_median_w5_p70
snap_inatt__qbin,0,5,uaZ_max
snap_inatt__qbin,0,6,uaY_domfreq
snap_inatt__qbin,0,7,gyZ_median
snap_inatt__qbin,0,8,uaMag_max
snap_inatt__qbin,0,9,stl_bout_cv_w5_p10
snap_inatt__qbin,0,10,uaY_mean
snap_inatt__qbin,0,11,uaX_centroid
snap_inatt__qbin,0,12,stl_bout_median_w5_p60
snap_inatt__qbin,0,13,jerk_max
snap_inatt__qbin,0,14,yaw_max
snap_inatt__qbin,0,15,gyZ_mean
snap_inatt__qbin,0,16,roll_skew
snap_inatt__qbin,0,17,frac_act_short_w10_p40
snap_inatt__qbin,0,18,uaX_bp_hf
snap_inatt__qbin,0,19,pitch_bp_mf
snap_inatt__qbin,0,20,gyX_skew
snap_inatt__qbin,1,1,frac_act_short_w10_p20
snap_inatt__qbin,1,2,yaw_range
snap_inatt__qbin,1,3,gyX_skew
snap_inatt__qbin,1,4,gyMag_max
snap_inatt__qbin,1,5,uaY_domfreq
snap_inatt__qbin,1,6,gyY_std
snap_inatt__qbin,1,7,roll_skew
snap_inatt__qbin,1,8,act_bout_cv_w10_p60
snap_inatt__qbin,1,9,yaw_max
snap_inatt__qbin,1,10,stl_bout_median_w5_p10
snap_inatt__qbin,1,11,uaX_max
snap_inatt__qbin,1,12,yaw_min
snap_inatt__qbin,1,13,frac_act_short_w2_p70
snap_inatt__qbin,1,14,roll_mean
snap_inatt__qbin,1,15,act_bout_median_w1_p90
snap_inatt__qbin,1,16,uaZ_kurt
snap_inatt__qbin,1,17,gyY_mean
snap_inatt__qbin,1,18,act_bout_median_w0.5_p90
snap_inatt__qbin,1,19,uaY_median
snap_inatt__qbin,1,20,frac_act_short_w10_p40
snap_inatt__qbin,2,1,frac_act_short_w10_p20
snap_inatt__qbin,2,2,gyY_std
snap_inatt__qbin,2,3,act_bout_cv_w10_p70
snap_inatt__qbin,2,4,yaw_range
snap_inatt__qbin,2,5,gyX_skew
snap_inatt__qbin,2,6,uaY_median
snap_inatt__qbin,2,7,act_bout_median_w0.5_p90
snap_inatt__qbin,2,8,gyX_iqr
snap_inatt__qbin,2,9,gyY_mean
snap_inatt__qbin,2,10,gyMag_mean
snap_inatt__qbin,2,11,jerk_acf_dom_period_s
snap_inatt__qbin,2,12,frac_act_short_w10_p40
snap_inatt__qbin,2,13,act_bout_median_w5_p80
snap_inatt__qbin,2,14,roll_skew
snap_inatt__qbin,2,15,roll_domfreq
snap_inatt__qbin,2,16,yaw_max
snap_inatt__qbin,2,17,actshort_p80
snap_inatt__qbin,2,18,roll_median
snap_inatt__qbin,2,19,stl_bout_median_w5_p70
snap_inatt__qbin,2,20,yaw_min
snap_inatt__qbin,3,1,frac_act_short_w10_p20
snap_inatt__qbin,3,2,gyY_std
snap_inatt__qbin,3,3,jerk_peak_ipi_med_s
snap_inatt__qbin,3,4,jerk_acf_dom_period_s
snap_inatt__qbin,3,5,uaMag_max
snap_inatt__qbin,3,6,act_bout_median_w0.5_p90
snap_inatt__qbin,3,7,gyY_mean
snap_inatt__qbin,3,8,gyMag_peak_ipi_cv
snap_inatt__qbin,3,9,act_bout_median_w5_p70
snap_inatt__qbin,3,10,yaw_max
snap_inatt__qbin,3,11,stl_bout_cv_w0.5_p70
snap_inatt__qbin,3,12,uaMag_rms
snap_inatt__qbin,3,13,act_bout_median_w2_p50
snap_inatt__qbin,3,14,uaY_median
snap_inatt__qbin,3,15,uaZ_max
snap_inatt__qbin,3,16,yaw_range
snap_inatt__qbin,3,17,gyX_skew
snap_inatt__qbin,3,18,stl_bout_cv_w0.5_p10
snap_inatt__qbin,3,19,roll_skew
snap_inatt__qbin,3,20,stl_bout_median_w5_p60
snap_inatt__qbin,4,1,uaMag_peak_amp_med
snap_inatt__qbin,4,2,frac_act_short_w10_p20
snap_inatt__qbin,4,3,yaw_range
snap_inatt__qbin,4,4,gyX_skew
snap_inatt__qbin,4,5,act_bout_cv_w10_p70
snap_inatt__qbin,4,6,roll_skew
snap_inatt__qbin,4,7,uaY_median
snap_inatt__qbin,4,8,gyY_mean
snap_inatt__qbin,4,9,gyMag_mad
snap_inatt__qbin,4,10,act_bout_median_w0.5_p90
snap_inatt__qbin,4,11,act_bout_median_w2_p50
snap_inatt__qbin,4,12,uaX_centroid
snap_inatt__qbin,4,13,frac_act_short_w10_p40
snap_inatt__qbin,4,14,uaZ_std
snap_inatt__qbin,4,15,yaw_max
snap_inatt__qbin,4,16,yaw_min
snap_inatt__qbin,4,17,stl_bout_median_w5_p60
snap_inatt__qbin,4,18,pitch_bp_mf
snap_inatt__qbin,4,19,stl_bout_cv_w0.5_p20
snap_inatt__qbin,4,20,act_bout_median_w5_p60
snap_inatt__qbin,5,1,frac_act_short_w10_p20
snap_inatt__qbin,5,2,gyY_std
snap_inatt__qbin,5,3,act_bout_median_w0.5_p60
snap_inatt__qbin,5,4,gyX_skew
snap_inatt__qbin,5,5,uaY_median
snap_inatt__qbin,5,6,yaw_range
snap_inatt__qbin,5,7,act_bout_cv_w10_p70
snap_inatt__qbin,5,8,stl_bout_median_w0.5_p80
snap_inatt__qbin,5,9,uaZ_skew
snap_inatt__qbin,5,10,act_bout_median_w0.5_p90
snap_inatt__qbin,5,11,gyMag_mean
snap_inatt__qbin,5,12,jerk_peak_ipi_med_s
snap_inatt__qbin,5,13,uaX_max
snap_inatt__qbin,5,14,yaw_max
snap_inatt__qbin,5,15,gyY_mean
snap_inatt__qbin,5,16,act_bout_median_w1_p90
snap_inatt__qbin,5,17,jerk_acf_dom_period_s
snap_inatt__qbin,5,18,uaZ_madiff
snap_inatt__qbin,5,19,act_bout_median_w2_p50
snap_inatt__qbin,5,20,actshort_p80
snap_inatt__qbin,6,1,frac_act_short_w10_p20
snap_inatt__qbin,6,2,gyY_std
snap_inatt__qbin,6,3,act_bout_median_w5_p70
snap_inatt__qbin,6,4,yaw_range
snap_inatt__qbin,6,5,stl_bout_cv_w0.5_p60
snap_inatt__qbin,6,6,roll_domfreq
snap_inatt__qbin,6,7,gyX_skew
snap_inatt__qbin,6,8,yaw_entropy
snap_inatt__qbin,6,9,uaY_median
snap_inatt__qbin,6,10,yaw_min
snap_inatt__qbin,6,11,act_bout_median_w0.5_p90
snap_inatt__qbin,6,12,gyMag_domfreq
snap_inatt__qbin,6,13,frac_act_short_w10_p40
snap_inatt__qbin,6,14,act_bout_median_w5_p60
snap_inatt__qbin,6,15,gyMag_mean
snap_inatt__qbin,6,16,stl_bout_cv_w10_p50
snap_inatt__qbin,6,17,actshort_p80
snap_inatt__qbin,6,18,jerk_acf_dom_period_s
snap_inatt__qbin,6,19,pitch_bp_hf
snap_inatt__qbin,6,20,gyY_mean
snap_inatt__qbin,7,1,frac_act_short_w10_p20
snap_inatt__qbin,7,2,gyY_std
snap_inatt__qbin,7,3,uaY_domfreq
snap_inatt__qbin,7,4,yaw_max
snap_inatt__qbin,7,5,stl_bout_median_w5_p70
snap_inatt__qbin,7,6,uaY_range
snap_inatt__qbin,7,7,roll_skew
snap_inatt__qbin,7,8,jerk_centroid
snap_inatt__qbin,7,9,yaw_range
snap_inatt__qbin,7,10,frac_act_short_w2_p70
snap_inatt__qbin,7,11,roll_kurt
snap_inatt__qbin,7,12,uaY_median
snap_inatt__qbin,7,13,uaZ_max
snap_inatt__qbin,7,14,act_bout_median_w5_p70
snap_inatt__qbin,7,15,stl_bout_cv_w0.5_p70
snap_inatt__qbin,7,16,roll_domfreq
snap_inatt__qbin,7,17,pitch_bp_mf
snap_inatt__qbin,7,18,yaw_domfreq
snap_inatt__qbin,7,19,jerk_acf_dom_period_s
snap_inatt__qbin,7,20,frac_act_short_w0.5_p70
snap_inatt__qbin,8,1,frac_act_short_w10_p20
snap_inatt__qbin,8,2,yaw_range
snap_inatt__qbin,8,3,act_bout_cv_w10_p70
snap_inatt__qbin,8,4,uaZ_std
snap_inatt__qbin,8,5,stl_bout_median_w1_p50
snap_inatt__qbin,8,6,roll_kurt
snap_inatt__qbin,8,7,gyX_skew
snap_inatt__qbin,8,8,gyMag_mean
snap_inatt__qbin,8,9,uaY_median
snap_inatt__qbin,8,10,gyZ_median
snap_inatt__qbin,8,11,frac_act_short_w10_p90
snap_inatt__qbin,8,12,uaZ_max
snap_inatt__qbin,8,13,act_bout_median_w0.5_p90
snap_inatt__qbin,8,14,act_bout_median_w2_p50
snap_inatt__qbin,8,15,yaw_max
snap_inatt__qbin,8,16,yaw_domfreq
snap_inatt__qbin,8,17,uaMag_std
snap_inatt__qbin,8,18,act_bout_cv_w0.5_p90
snap_inatt__qbin,8,19,act_bout_median_w5_p70
snap_inatt__qbin,8,20,jerk_peak_ipi_cv
snap_inatt__qbin,9,1,frac_act_short_w10_p20
snap_inatt__qbin,9,2,gyY_std
snap_inatt__qbin,9,3,frac_act_short_w10_p40
snap_inatt__qbin,9,4,actshort_p80
snap_inatt__qbin,9,5,roll_domfreq
snap_inatt__qbin,9,6,uaY_median
snap_inatt__qbin,9,7,yaw_range
snap_inatt__qbin,9,8,actshort_p90
snap_inatt__qbin,9,9,frac_act_short_w10_p90
snap_inatt__qbin,9,10,gyMag_mean
snap_inatt__qbin,9,11,gyX_skew
snap_inatt__qbin,9,12,act_bout_cv_w0.5_p90
snap_inatt__qbin,9,13,gyX_max
snap_inatt__qbin,9,14,act_bout_median_w0.5_p90
snap_inatt__qbin,9,15,gyX_iqr
snap_inatt__qbin,9,16,yaw_min
snap_inatt__qbin,9,17,stl_bout_median_w5_p70
snap_inatt__qbin,9,18,uaZ_madiff
snap_inatt__qbin,9,19,actbout_cv_p70
snap_inatt__qbin,9,20,pitch_madiff
snap_inatt__qbin,10,1,frac_act_short_w10_p20
snap_inatt__qbin,10,2,gyY_std
snap_inatt__qbin,10,3,uaY_domfreq
snap_inatt__qbin,10,4,yaw_max
snap_inatt__qbin,10,5,stl_bout_median_w5_p70
snap_inatt__qbin,10,6,uaY_range
snap_inatt__qbin,10,7,roll_skew
snap_inatt__qbin,10,8,yaw_range
snap_inatt__qbin,10,9,jerk_bp_hf
snap_inatt__qbin,10,10,gyZ_median
snap_inatt__qbin,10,11,frac_act_short_w10_p40
snap_inatt__qbin,10,12,uaX_bp_hf
snap_inatt__qbin,10,13,roll_kurt
snap_inatt__qbin,10,14,roll_domfreq
snap_inatt__qbin,10,15,uaMag_max
snap_inatt__qbin,10,16,uaY_median
snap_inatt__qbin,10,17,uaX_centroid
snap_inatt__qbin,10,18,roll_iqr
snap_inatt__qbin,10,19,gyX_skew
snap_inatt__qbin,10,20,stl_bout_cv_w0.5_p10
snap_inatt__qbin,11,1,frac_act_short_w10_p20
snap_inatt__qbin,11,2,gyY_std
snap_inatt__qbin,11,3,stl_bout_median_w2_p90
snap_inatt__qbin,11,4,jerk_peak_ipi_med_s
snap_inatt__qbin,11,5,yaw_range
snap_inatt__qbin,11,6,gyX_skew
snap_inatt__qbin,11,7,uaY_median
snap_inatt__qbin,11,8,uaZ_skew
snap_inatt__qbin,11,9,roll_skew
snap_inatt__qbin,11,10,stl_bout_cv_w0.5_p20
snap_inatt__qbin,11,11,act_bout_cv_w10_p50
snap_inatt__qbin,11,12,yaw_domfreq
snap_inatt__qbin,11,13,yaw_max
snap_inatt__qbin,11,14,yaw_min
snap_inatt__qbin,11,15,act_bout_median_w2_p50
snap_inatt__qbin,11,16,act_bout_median_w5_p70
snap_inatt__qbin,11,17,uaZ_std
snap_inatt__qbin,11,18,uaX_max
snap_inatt__qbin,11,19,stl_bout_median_w5_p70
snap_inatt__qbin,11,20,pitch_bp_mf
snap_inatt__qbin,12,1,frac_act_short_w10_p20
snap_inatt__qbin,12,2,gyY_std
snap_inatt__qbin,12,3,act_bout_cv_w10_p70
snap_inatt__qbin,12,4,yaw_range
snap_inatt__qbin,12,5,gyX_skew
snap_inatt__qbin,12,6,uaY_median
snap_inatt__qbin,12,7,act_bout_median_w0.5_p90
snap_inatt__qbin,12,8,uaY_min
snap_inatt__qbin,12,9,stl_bout_cv_w1_p10
snap_inatt__qbin,12,10,gyZ_domfreq
snap_inatt__qbin,12,11,jerk_centroid
snap_inatt__qbin,12,12,gyY_median
snap_inatt__qbin,12,13,uaZ_max
snap_inatt__qbin,12,14,stl_bout_median_w2_p90
snap_inatt__qbin,12,15,yaw_max
snap_inatt__qbin,12,16,yaw_min
snap_inatt__qbin,12,17,stl_bout_cv_w0.5_p20
snap_inatt__qbin,12,18,uaZ_kurt
