column,dtype,n_missing,pct_missing,n_unique
subject,object,0,0.0,24
uaX_mean,float64,0,0.0,24
uaX_std,float64,0,0.0,24
uaX_var,float64,0,0.0,24
uaX_rms,float64,0,0.0,24
uaX_min,float64,0,0.0,24
uaX_max,float64,0,0.0,24
uaX_range,float64,0,0.0,24
uaX_median,float64,0,0.0,24
uaX_iqr,float64,0,0.0,24
uaX_mad,float64,0,0.0,24
uaX_skew,float64,0,0.0,24
uaX_kurt,float64,0,0.0,24
uaX_zcr,float64,0,0.0,24
uaX_madiff,float64,0,0.0,24
uaX_domfreq,float64,0,0.0,23
uaX_centroid,float64,0,0.0,24
uaX_spread,float64,0,0.0,24
uaX_entropy,float64,0,0.0,24
uaX_bp_lf,float64,0,0.0,24
uaX_bp_mf,float64,0,0.0,24
uaX_bp_hf,float64,0,0.0,24
uaY_mean,float64,0,0.0,24
uaY_std,float64,0,0.0,24
uaY_var,float64,0,0.0,24
uaY_rms,float64,0,0.0,24
uaY_min,float64,0,0.0,24
uaY_max,float64,0,0.0,24
uaY_range,float64,0,0.0,24
uaY_median,float64,0,0.0,24
uaY_iqr,float64,0,0.0,24
uaY_mad,float64,0,0.0,24
uaY_skew,float64,0,0.0,24
uaY_kurt,float64,0,0.0,24
uaY_zcr,float64,0,0.0,24
uaY_madiff,float64,0,0.0,24
uaY_domfreq,float64,0,0.0,24
uaY_centroid,float64,0,0.0,24
uaY_spread,float64,0,0.0,24
uaY_entropy,float64,0,0.0,24
uaY_bp_lf,float64,0,0.0,24
uaY_bp_mf,float64,0,0.0,24
uaY_bp_hf,float64,0,0.0,24
uaZ_mean,float64,0,0.0,24
uaZ_std,float64,0,0.0,24
uaZ_var,float64,0,0.0,24
uaZ_rms,float64,0,0.0,24
uaZ_min,float64,0,0.0,24
uaZ_max,float64,0,0.0,24
uaZ_range,float64,0,0.0,24
uaZ_median,float64,0,0.0,24
uaZ_iqr,float64,0,0.0,24
uaZ_mad,float64,0,0.0,24
uaZ_skew,float64,0,0.0,24
uaZ_kurt,float64,0,0.0,24
uaZ_zcr,float64,0,0.0,24
uaZ_madiff,float64,0,0.0,24
uaZ_domfreq,float64,0,0.0,23
uaZ_centroid,float64,0,0.0,24
uaZ_spread,float64,0,0.0,24
uaZ_entropy,float64,0,0.0,24
uaZ_bp_lf,float64,0,0.0,24
uaZ_bp_mf,float64,0,0.0,24
uaZ_bp_hf,float64,0,0.0,24
uaMag_mean,float64,0,0.0,24
uaMag_std,float64,0,0.0,24
uaMag_var,float64,0,0.0,24
uaMag_rms,float64,0,0.0,24
