target,type,n_rows,n_unique_features,rho,perm_p,loo_r2cv,loo_rmse,loo_mae,rho_partial_uamag,q_fdr
sdq_cond__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_emo__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_hyper__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_peer__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_pro__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_totdiff__qbin,bin,608,608,0,608,0,0,0,0,608
snap_adhd_total__qbin,bin,608,608,0,608,0,0,0,0,608
snap_hyper__qbin,bin,608,608,0,608,0,0,0,0,608
snap_inatt__qbin,bin,608,608,0,608,0,0,0,0,608
snap_odd__qbin,bin,608,608,0,608,0,0,0,0,608
sdq_cond,cont,608,608,608,608,608,608,608,45,608
sdq_emo,cont,608,608,608,608,608,608,608,45,608
sdq_hyper,cont,608,608,608,608,608,608,608,45,608
sdq_peer,cont,608,608,608,608,608,608,608,45,608
sdq_pro,cont,608,608,608,608,608,608,608,45,608
sdq_totdiff,cont,608,608,608,608,608,608,608,45,608
snap_adhd_total,cont,608,608,608,608,608,608,608,45,608
snap_hyper,cont,608,608,608,608,608,608,608,45,608
snap_inatt,cont,608,608,608,608,608,608,608,45,608
snap_odd,cont,608,608,608,608,608,608,608,45,608
